stop_id,stop_name,fullName,stop_id,municipality,district_code,mainTrafficType,idosCategory,lat,lon,avgJtskX,avgJtskY,numStops
Běleč (TA),Běleč,Běleč,Běleč (TA),Běleč,TA,bus,301003,49.5433578,14.8362484,-721296.75,-1106972.75,2
"Běleč,Bzová,rozc. (TA)","Běleč,Bzová,rozc.","Běleč,Bzová,rozcestí","Běleč,Bzová,rozc. (TA)",Běleč,TA,bus,301003,49.55558,14.8461647,-720407.5,-1105718.75,2
"Běleč,Elbančice,rozc.1.0 (TA)","Běleč,Elbančice,rozc.1.0","Běleč,Elbančice,rozcestí 1.0","Běleč,Elbančice,rozc.1.0 (TA)",Běleč,TA,bus,301003,49.54528,14.8433256,-720761.0,-1106827.25,2
Bělocerkevská,Bělocerkevská,Bělocerkevská,Bělocerkevská,Praha,AB,bus,301003,50.0718956,14.4703321,-739565.25,-1045206.13,3
Běloky,Běloky,Běloky,Běloky,Běloky,KD,bus,301003,50.1322746,14.2207355,-756329.25,-1036102.25,2
Bělušice,Bělušice,Bělušice,Bělušice,Bělušice,KO,bus,301003,50.06877,15.3214855,-679198.25,-1053474.63,2
"Bělušice,Na Dolejšku","Bělušice,Na Dolejšku","Bělušice,Na Dolejšku","Bělušice,Na Dolejšku",Bělušice,KO,bus,301003,50.06404,15.3263912,-678915.25,-1054040.13,2
"Benátky n.Jiz.,aut.st. (v ul. B.Němcové)","Benátky n.Jiz.,aut.st. (v ul. B.Němcové)","Benátky nad Jizerou,autobusové stanoviště  (v ul. Boženy Němcové)","Benátky n.Jiz.,aut.st. (v ul. B.Němcové)",Benátky n.Jiz.,MB,bus,301003,50.2824974,14.8220053,-711547.5,-1025341.0,4
"Benátky n.Jiz.,Dražice,dvůr","Benátky n.Jiz.,Dražice,dvůr","Benátky nad Jizerou,Dražice,dvůr","Benátky n.Jiz.,Dražice,dvůr",Benátky n.Jiz.,MB,bus,301003,50.30771,14.841711,-709788.5,-1022744.75,4
"Benátky n.Jiz.,Dražice,Na Štěpničce","Benátky n.Jiz.,Dražice,Na Štěpničce","Benátky nad Jizerou,Dražice,Na Štěpničce","Benátky n.Jiz.,Dražice,Na Štěpničce",Benátky n.Jiz.,MB,undefined,301003,50.303772,14.840621,-709922.75,-1023168.63,2
"Benátky n.Jiz.,Dražice,Ovčín","Benátky n.Jiz.,Dražice,Ovčín","Benátky nad Jizerou,Dražice,Ovčín","Benátky n.Jiz.,Dražice,Ovčín",Benátky n.Jiz.,MB,bus,301003,50.30826,14.8538532,-708923.063,-1022796.81,2
"Benátky n.Jiz.,Dražice,závod","Benátky n.Jiz.,Dražice,závod","Benátky nad Jizerou,Dražice,závod","Benátky n.Jiz.,Dražice,závod",Benátky n.Jiz.,MB,bus,301003,50.3083344,14.8490276,-709262.7,-1022743.75,2
"Benátky n.Jiz.,Dražická","Benátky n.Jiz.,Dražická","Benátky nad Jizerou,Dražická","Benátky n.Jiz.,Dražická",Benátky n.Jiz.,MB,bus,301003,50.2935638,14.8297253,-710841.0,-1024193.06,2
"Benátky n.Jiz.,Husovo nám.","Benátky n.Jiz.,Husovo nám.","Benátky nad Jizerou,Husovo náměstí","Benátky n.Jiz.,Husovo nám.",Benátky n.Jiz.,MB,bus,301003,50.2918739,14.8264294,-711098.3,-1024348.31,1
"Benátky n.Jiz.,Kbel","Benátky n.Jiz.,Kbel","Benátky nad Jizerou,Kbel","Benátky n.Jiz.,Kbel",Benátky n.Jiz.,MB,bus,301003,50.29175,14.8446617,-709812.063,-1024531.75,2
